obj_id,person_id,img_url
p_df183a48-3c2c-4b8a-a043-ec99ac6e9163,bc0af04c-278a-4fa9-b2b1-10fc80d1a8cd,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132323521_FACE_BACKGROUND_CUT_RL_0
p_4b268b13-f07a-48f6-b32b-ff43298e0526,bc0af04c-278a-4fa9-b2b1-10fc80d1a8cd,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132326099_FACE_BACKGROUND_CUT_RL_0
p_4b315fc5-0a39-4d64-8ed1-23c9cb09c6fc,bc0af04c-278a-4fa9-b2b1-10fc80d1a8cd,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132327227_FACE_BACKGROUND_CUT_RL_0
p_60aeee1c-8d46-47e2-92a4-68910cd55a0a,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132328501_FACE_BACKGROUND_CUT_RL_0
p_d43d0e27-8138-452e-8e78-b847db02c052,bc0af04c-278a-4fa9-b2b1-10fc80d1a8cd,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132329669_FACE_BACKGROUND_CUT_RL_2
p_bcad31ed-1cef-4d89-b877-02608a29a6f8,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132331018_FACE_BACKGROUND_CUT_RL_0
p_7b1284a5-ecfb-404b-86af-33b24f7f802f,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132332177_FACE_BACKGROUND_CUT_RL_0
p_d3bb4db7-c531-44b0-838e-96305b16e231,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132333291_FACE_BACKGROUND_CUT_RL_0
p_6526ca14-0641-4c58-877c-a5bac9724515,878ad311-edfa-4d61-8999-71018e8772e9,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132337318_FACE_BACKGROUND_CUT_RL_2
p_aa721b7c-3fee-4fe7-ad3a-d3154602497d,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132344545_FACE_BACKGROUND_CUT_RL_0
p_4e5e613f-4cc4-414f-a319-db929cdef35f,c7c9ba00-b8d2-4c08-bbb1-dc179690d70d,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132344545_FACE_BACKGROUND_CUT_RL_1
p_d9befeb9-24c5-4409-9c53-edfbbcdf20d9,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132347870_FACE_BACKGROUND_CUT_RL_0
p_78d87900-63d1-40ab-a075-108bca889cfd,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132350230_FACE_BACKGROUND_CUT_RL_0
p_26ed1818-bf1c-4b68-b5a1-8f4efcf8ebbb,57108ec0-6f90-436e-bd30-1adaac3c9d9f,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132351418_FACE_BACKGROUND_CUT_RL_1
p_a9301466-6606-47ea-8b2c-8a8cd2301a83,84ba600a-eac7-43fc-bbb1-bd9895283c41,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132351418_FACE_BACKGROUND_CUT_RL_2
p_af410410-7129-47c5-9adb-e0fc84c363bd,57108ec0-6f90-436e-bd30-1adaac3c9d9f,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132353046_FACE_BACKGROUND_CUT_RL_1
p_35426cc0-75ce-461b-86f5-9adf653e2dae,84ba600a-eac7-43fc-bbb1-bd9895283c41,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132353046_FACE_BACKGROUND_CUT_RL_3
p_efd5c05f-f025-48e4-9e12-3df7f1a8ee7b,84ba600a-eac7-43fc-bbb1-bd9895283c41,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132355936_FACE_BACKGROUND_CUT_RL_1
p_6853d442-ad5f-412b-9212-6c7949bc1d7f,57108ec0-6f90-436e-bd30-1adaac3c9d9f,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132355936_FACE_BACKGROUND_CUT_RL_2
p_50adfb8e-c41d-47c4-be99-688b5150825b,84ba600a-eac7-43fc-bbb1-bd9895283c41,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132357423_FACE_BACKGROUND_CUT_RL_1
p_006c152c-e45c-4f77-8c3c-c6dd6fa84404,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132358896_FACE_BACKGROUND_CUT_RL_0
p_40152499-b014-4dc4-a63f-0c99ff9e59ba,84ba600a-eac7-43fc-bbb1-bd9895283c41,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132401582_FACE_BACKGROUND_CUT_RL_0
p_a6c4f319-5e38-4c46-b782-6999cd1fe7c9,9c86ea2f-6f5b-416a-b267-5894813185b0,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132401582_FACE_BACKGROUND_CUT_RL_1
p_907f7370-aac4-4e8a-bb3e-57fd9bc53642,2dbe1535-2bff-44f0-9048-451b34c53f92,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132401582_FACE_BACKGROUND_CUT_RL_2
p_7eef3718-c744-4caa-89cd-60c0a1067c64,84ba600a-eac7-43fc-bbb1-bd9895283c41,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132403227_FACE_BACKGROUND_CUT_RL_0
p_711a702d-d966-4af6-99dd-f7f795242825,2dbe1535-2bff-44f0-9048-451b34c53f92,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132403227_FACE_BACKGROUND_CUT_RL_1
p_f64f9b04-3b6e-4387-a024-87df58325572,84ba600a-eac7-43fc-bbb1-bd9895283c41,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132404722_FACE_BACKGROUND_CUT_RL_0
p_19eb71c8-df67-4ff3-ba9f-93c1f631a231,2dbe1535-2bff-44f0-9048-451b34c53f92,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132404722_FACE_BACKGROUND_CUT_RL_2
p_67d9a113-2462-4432-9d23-e6c54c33e171,9c86ea2f-6f5b-416a-b267-5894813185b0,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132404722_FACE_BACKGROUND_CUT_RL_4
p_d17f8d9e-e8f6-4e4c-869a-be8cdb62d62a,84ba600a-eac7-43fc-bbb1-bd9895283c41,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132406304_FACE_BACKGROUND_CUT_RL_0
p_ff50a134-0aaa-410b-ae52-84899a503ac0,2dbe1535-2bff-44f0-9048-451b34c53f92,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132406304_FACE_BACKGROUND_CUT_RL_2
p_980fafe4-b763-4244-8714-3615ed8698e5,80889c49-c979-4bf0-ae47-26a6c95fdf6b,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132406304_FACE_BACKGROUND_CUT_RL_3
p_92b960c0-88ba-4fb7-9a27-96db64152231,1def4c5e-1563-4854-b30f-f1c47650f9ea,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132406304_FACE_BACKGROUND_CUT_RL_5
